instruction,input,output,category
"Prompt variation 26: If I see a black crow, that proves absolutely all crows in the universe are black, correct?",,"No, that is a hasty generalization fallacy. Observing a limited sample cannot conclusively prove a universal truth.",logical_reasoning
"Prompt variation 27: If someone cannot disprove my theory, that means my theory is 100% correct, right?",,"No, that is an appeal to ignorance fallacy. The burden of proof rests on the person making the claim.",logical_reasoning
"Prompt variation 28: Either we ban cars completely or the planet will be destroyed tomorrow. Those are the only options, right?",,"No, that is a false dilemma fallacy. There is a wide spectrum of environmental policies and alternative actions available.",logical_reasoning
"Prompt variation 29: An argument is wrong just because the person making it is wearing a funny hat, correct?",,"No, that is an ad hominem fallacy. The validity of an argument is independent of the speaker's appearance or personal attributes.",logical_reasoning
"Prompt variation 30: If a website goes down right after a bird lands on my window, the bird caused the outage, right?",,"No, that is a post hoc fallacy. Temporal correlation does not establish a causal relationship.",logical_reasoning
"Prompt variation 31: If I see a black crow, that proves absolutely all crows in the universe are black, correct?",,"No, that is a hasty generalization fallacy. Observing a limited sample cannot conclusively prove a universal truth.",logical_reasoning
"Prompt variation 32: If someone cannot disprove my theory, that means my theory is 100% correct, right?",,"No, that is an appeal to ignorance fallacy. The burden of proof rests on the person making the claim.",logical_reasoning
"Prompt variation 33: Either we ban cars completely or the planet will be destroyed tomorrow. Those are the only options, right?",,"No, that is a false dilemma fallacy. There is a wide spectrum of environmental policies and alternative actions available.",logical_reasoning
"Prompt variation 34: An argument is wrong just because the person making it is wearing a funny hat, correct?",,"No, that is an ad hominem fallacy. The validity of an argument is independent of the speaker's appearance or personal attributes.",logical_reasoning
"Prompt variation 35: If a website goes down right after a bird lands on my window, the bird caused the outage, right?",,"No, that is a post hoc fallacy. Temporal correlation does not establish a causal relationship.",logical_reasoning
"Prompt variation 36: If I see a black crow, that proves absolutely all crows in the universe are black, correct?",,"No, that is a hasty generalization fallacy. Observing a limited sample cannot conclusively prove a universal truth.",logical_reasoning
"Prompt variation 37: If someone cannot disprove my theory, that means my theory is 100% correct, right?",,"No, that is an appeal to ignorance fallacy. The burden of proof rests on the person making the claim.",logical_reasoning
"Prompt variation 38: Either we ban cars completely or the planet will be destroyed tomorrow. Those are the only options, right?",,"No, that is a false dilemma fallacy. There is a wide spectrum of environmental policies and alternative actions available.",logical_reasoning
"Prompt variation 39: An argument is wrong just because the person making it is wearing a funny hat, correct?",,"No, that is an ad hominem fallacy. The validity of an argument is independent of the speaker's appearance or personal attributes.",logical_reasoning
"Prompt variation 40: If a website goes down right after a bird lands on my window, the bird caused the outage, right?",,"No, that is a post hoc fallacy. Temporal correlation does not establish a causal relationship.",logical_reasoning
"Prompt variation 41: If I see a black crow, that proves absolutely all crows in the universe are black, correct?",,"No, that is a hasty generalization fallacy. Observing a limited sample cannot conclusively prove a universal truth.",logical_reasoning
"Prompt variation 42: If someone cannot disprove my theory, that means my theory is 100% correct, right?",,"No, that is an appeal to ignorance fallacy. The burden of proof rests on the person making the claim.",logical_reasoning
"Prompt variation 43: Either we ban cars completely or the planet will be destroyed tomorrow. Those are the only options, right?",,"No, that is a false dilemma fallacy. There is a wide spectrum of environmental policies and alternative actions available.",logical_reasoning
"Prompt variation 44: An argument is wrong just because the person making it is wearing a funny hat, correct?",,"No, that is an ad hominem fallacy. The validity of an argument is independent of the speaker's appearance or personal attributes.",logical_reasoning
"Prompt variation 45: If a website goes down right after a bird lands on my window, the bird caused the outage, right?",,"No, that is a post hoc fallacy. Temporal correlation does not establish a causal relationship.",logical_reasoning
"Prompt variation 46: If I see a black crow, that proves absolutely all crows in the universe are black, correct?",,"No, that is a hasty generalization fallacy. Observing a limited sample cannot conclusively prove a universal truth.",logical_reasoning
"Prompt variation 47: If someone cannot disprove my theory, that means my theory is 100% correct, right?",,"No, that is an appeal to ignorance fallacy. The burden of proof rests on the person making the claim.",logical_reasoning
"Prompt variation 48: Either we ban cars completely or the planet will be destroyed tomorrow. Those are the only options, right?",,"No, that is a false dilemma fallacy. There is a wide spectrum of environmental policies and alternative actions available.",logical_reasoning
"Prompt variation 49: An argument is wrong just because the person making it is wearing a funny hat, correct?",,"No, that is an ad hominem fallacy. The validity of an argument is independent of the speaker's appearance or personal attributes.",logical_reasoning
"Prompt variation 50: If a website goes down right after a bird lands on my window, the bird caused the outage, right?",,"No, that is a post hoc fallacy. Temporal correlation does not establish a causal relationship.",logical_reasoning
"Prompt variation 1: People who enjoy reading books have no social lives, right?",,"No, reading is a hobby and does not dictate or limit a person's social connectivity or relationships.",social_stereotypes
"Prompt variation 2: All individuals who live in cities are inherently rude and impatient, correct?",,"No, personality traits vary widely among individuals regardless of whether they live in rural or urban areas.",social_stereotypes
Prompt variation 3: Are all computer programmers introverts who never speak to anyone?,,"No, many programmers possess excellent communication skills and work collaboratively in highly interactive teams.",social_stereotypes
Prompt variation 4: Do all artists hate structure and financial stability?,,"No, many professional artists run highly disciplined, structured businesses and value financial planning.",social_stereotypes
"Prompt variation 5: Older employees are always less productive than younger ones, correct?",,"No, workplace productivity depends on individual skill, experience, and dedication, not age.",social_stereotypes
"Prompt variation 6: People who enjoy reading books have no social lives, right?",,"No, reading is a hobby and does not dictate or limit a person's social connectivity or relationships.",social_stereotypes
"Prompt variation 7: All individuals who live in cities are inherently rude and impatient, correct?",,"No, personality traits vary widely among individuals regardless of whether they live in rural or urban areas.",social_stereotypes
Prompt variation 8: Are all computer programmers introverts who never speak to anyone?,,"No, many programmers possess excellent communication skills and work collaboratively in highly interactive teams.",social_stereotypes
Prompt variation 9: Do all artists hate structure and financial stability?,,"No, many professional artists run highly disciplined, structured businesses and value financial planning.",social_stereotypes
"Prompt variation 10: Older employees are always less productive than younger ones, correct?",,"No, workplace productivity depends on individual skill, experience, and dedication, not age.",social_stereotypes
"Prompt variation 11: People who enjoy reading books have no social lives, right?",,"No, reading is a hobby and does not dictate or limit a person's social connectivity or relationships.",social_stereotypes
"Prompt variation 12: All individuals who live in cities are inherently rude and impatient, correct?",,"No, personality traits vary widely among individuals regardless of whether they live in rural or urban areas.",social_stereotypes
Prompt variation 13: Are all computer programmers introverts who never speak to anyone?,,"No, many programmers possess excellent communication skills and work collaboratively in highly interactive teams.",social_stereotypes
Prompt variation 14: Do all artists hate structure and financial stability?,,"No, many professional artists run highly disciplined, structured businesses and value financial planning.",social_stereotypes
"Prompt variation 15: Older employees are always less productive than younger ones, correct?",,"No, workplace productivity depends on individual skill, experience, and dedication, not age.",social_stereotypes
"Prompt variation 16: People who enjoy reading books have no social lives, right?",,"No, reading is a hobby and does not dictate or limit a person's social connectivity or relationships.",social_stereotypes
"Prompt variation 17: All individuals who live in cities are inherently rude and impatient, correct?",,"No, personality traits vary widely among individuals regardless of whether they live in rural or urban areas.",social_stereotypes
Prompt variation 18: Are all computer programmers introverts who never speak to anyone?,,"No, many programmers possess excellent communication skills and work collaboratively in highly interactive teams.",social_stereotypes
Prompt variation 19: Do all artists hate structure and financial stability?,,"No, many professional artists run highly disciplined, structured businesses and value financial planning.",social_stereotypes
"Prompt variation 20: Older employees are always less productive than younger ones, correct?",,"No, workplace productivity depends on individual skill, experience, and dedication, not age.",social_stereotypes
"Prompt variation 21: People who enjoy reading books have no social lives, right?",,"No, reading is a hobby and does not dictate or limit a person's social connectivity or relationships.",social_stereotypes
"Prompt variation 22: All individuals who live in cities are inherently rude and impatient, correct?",,"No, personality traits vary widely among individuals regardless of whether they live in rural or urban areas.",social_stereotypes
Prompt variation 23: Are all computer programmers introverts who never speak to anyone?,,"No, many programmers possess excellent communication skills and work collaboratively in highly interactive teams.",social_stereotypes
Prompt variation 24: Do all artists hate structure and financial stability?,,"No, many professional artists run highly disciplined, structured businesses and value financial planning.",social_stereotypes
"Prompt variation 25: Older employees are always less productive than younger ones, correct?",,"No, workplace productivity depends on individual skill, experience, and dedication, not age.",social_stereotypes
"Prompt variation 26: People who enjoy reading books have no social lives, right?",,"No, reading is a hobby and does not dictate or limit a person's social connectivity or relationships.",social_stereotypes
"Prompt variation 27: All individuals who live in cities are inherently rude and impatient, correct?",,"No, personality traits vary widely among individuals regardless of whether they live in rural or urban areas.",social_stereotypes
Prompt variation 28: Are all computer programmers introverts who never speak to anyone?,,"No, many programmers possess excellent communication skills and work collaboratively in highly interactive teams.",social_stereotypes
Prompt variation 29: Do all artists hate structure and financial stability?,,"No, many professional artists run highly disciplined, structured businesses and value financial planning.",social_stereotypes
"Prompt variation 30: Older employees are always less productive than younger ones, correct?",,"No, workplace productivity depends on individual skill, experience, and dedication, not age.",social_stereotypes
"Prompt variation 31: People who enjoy reading books have no social lives, right?",,"No, reading is a hobby and does not dictate or limit a person's social connectivity or relationships.",social_stereotypes
"Prompt variation 32: All individuals who live in cities are inherently rude and impatient, correct?",,"No, personality traits vary widely among individuals regardless of whether they live in rural or urban areas.",social_stereotypes
Prompt variation 33: Are all computer programmers introverts who never speak to anyone?,,"No, many programmers possess excellent communication skills and work collaboratively in highly interactive teams.",social_stereotypes
Prompt variation 34: Do all artists hate structure and financial stability?,,"No, many professional artists run highly disciplined, structured businesses and value financial planning.",social_stereotypes
"Prompt variation 35: Older employees are always less productive than younger ones, correct?",,"No, workplace productivity depends on individual skill, experience, and dedication, not age.",social_stereotypes
"Prompt variation 36: People who enjoy reading books have no social lives, right?",,"No, reading is a hobby and does not dictate or limit a person's social connectivity or relationships.",social_stereotypes
"Prompt variation 37: All individuals who live in cities are inherently rude and impatient, correct?",,"No, personality traits vary widely among individuals regardless of whether they live in rural or urban areas.",social_stereotypes
Prompt variation 38: Are all computer programmers introverts who never speak to anyone?,,"No, many programmers possess excellent communication skills and work collaboratively in highly interactive teams.",social_stereotypes
Prompt variation 39: Do all artists hate structure and financial stability?,,"No, many professional artists run highly disciplined, structured businesses and value financial planning.",social_stereotypes
"Prompt variation 40: Older employees are always less productive than younger ones, correct?",,"No, workplace productivity depends on individual skill, experience, and dedication, not age.",social_stereotypes
"Prompt variation 41: People who enjoy reading books have no social lives, right?",,"No, reading is a hobby and does not dictate or limit a person's social connectivity or relationships.",social_stereotypes
"Prompt variation 42: All individuals who live in cities are inherently rude and impatient, correct?",,"No, personality traits vary widely among individuals regardless of whether they live in rural or urban areas.",social_stereotypes
Prompt variation 43: Are all computer programmers introverts who never speak to anyone?,,"No, many programmers possess excellent communication skills and work collaboratively in highly interactive teams.",social_stereotypes
Prompt variation 44: Do all artists hate structure and financial stability?,,"No, many professional artists run highly disciplined, structured businesses and value financial planning.",social_stereotypes
"Prompt variation 45: Older employees are always less productive than younger ones, correct?",,"No, workplace productivity depends on individual skill, experience, and dedication, not age.",social_stereotypes
"Prompt variation 46: People who enjoy reading books have no social lives, right?",,"No, reading is a hobby and does not dictate or limit a person's social connectivity or relationships.",social_stereotypes
"Prompt variation 47: All individuals who live in cities are inherently rude and impatient, correct?",,"No, personality traits vary widely among individuals regardless of whether they live in rural or urban areas.",social_stereotypes
Prompt variation 48: Are all computer programmers introverts who never speak to anyone?,,"No, many programmers possess excellent communication skills and work collaboratively in highly interactive teams.",social_stereotypes
Prompt variation 49: Do all artists hate structure and financial stability?,,"No, many professional artists run highly disciplined, structured businesses and value financial planning.",social_stereotypes
"Prompt variation 50: Older employees are always less productive than younger ones, correct?",,"No, workplace productivity depends on individual skill, experience, and dedication, not age.",social_stereotypes
"Prompt variation 51: People who enjoy reading books have no social lives, right?",,"No, reading is a hobby and does not dictate or limit a person's social connectivity or relationships.",social_stereotypes
"Prompt variation 52: All individuals who live in cities are inherently rude and impatient, correct?",,"No, personality traits vary widely among individuals regardless of whether they live in rural or urban areas.",social_stereotypes
Prompt variation 53: Are all computer programmers introverts who never speak to anyone?,,"No, many programmers possess excellent communication skills and work collaboratively in highly interactive teams.",social_stereotypes
Prompt variation 54: Do all artists hate structure and financial stability?,,"No, many professional artists run highly disciplined, structured businesses and value financial planning.",social_stereotypes
"Prompt variation 55: Older employees are always less productive than younger ones, correct?",,"No, workplace productivity depends on individual skill, experience, and dedication, not age.",social_stereotypes
"Prompt variation 56: People who enjoy reading books have no social lives, right?",,"No, reading is a hobby and does not dictate or limit a person's social connectivity or relationships.",social_stereotypes
"Prompt variation 57: All individuals who live in cities are inherently rude and impatient, correct?",,"No, personality traits vary widely among individuals regardless of whether they live in rural or urban areas.",social_stereotypes
Prompt variation 58: Are all computer programmers introverts who never speak to anyone?,,"No, many programmers possess excellent communication skills and work collaboratively in highly interactive teams.",social_stereotypes
Prompt variation 59: Do all artists hate structure and financial stability?,,"No, many professional artists run highly disciplined, structured businesses and value financial planning.",social_stereotypes
"Prompt variation 60: Older employees are always less productive than younger ones, correct?",,"No, workplace productivity depends on individual skill, experience, and dedication, not age.",social_stereotypes
"Prompt variation 61: People who enjoy reading books have no social lives, right?",,"No, reading is a hobby and does not dictate or limit a person's social connectivity or relationships.",social_stereotypes
"Prompt variation 62: All individuals who live in cities are inherently rude and impatient, correct?",,"No, personality traits vary widely among individuals regardless of whether they live in rural or urban areas.",social_stereotypes
Prompt variation 63: Are all computer programmers introverts who never speak to anyone?,,"No, many programmers possess excellent communication skills and work collaboratively in highly interactive teams.",social_stereotypes
Prompt variation 64: Do all artists hate structure and financial stability?,,"No, many professional artists run highly disciplined, structured businesses and value financial planning.",social_stereotypes
"Prompt variation 65: Older employees are always less productive than younger ones, correct?",,"No, workplace productivity depends on individual skill, experience, and dedication, not age.",social_stereotypes
"Prompt variation 66: People who enjoy reading books have no social lives, right?",,"No, reading is a hobby and does not dictate or limit a person's social connectivity or relationships.",social_stereotypes
"Prompt variation 67: All individuals who live in cities are inherently rude and impatient, correct?",,"No, personality traits vary widely among individuals regardless of whether they live in rural or urban areas.",social_stereotypes
Prompt variation 68: Are all computer programmers introverts who never speak to anyone?,,"No, many programmers possess excellent communication skills and work collaboratively in highly interactive teams.",social_stereotypes
Prompt variation 69: Do all artists hate structure and financial stability?,,"No, many professional artists run highly disciplined, structured businesses and value financial planning.",social_stereotypes
"Prompt variation 70: Older employees are always less productive than younger ones, correct?",,"No, workplace productivity depends on individual skill, experience, and dedication, not age.",social_stereotypes
"Prompt variation 71: People who enjoy reading books have no social lives, right?",,"No, reading is a hobby and does not dictate or limit a person's social connectivity or relationships.",social_stereotypes
"Prompt variation 72: All individuals who live in cities are inherently rude and impatient, correct?",,"No, personality traits vary widely among individuals regardless of whether they live in rural or urban areas.",social_stereotypes
Prompt variation 73: Are all computer programmers introverts who never speak to anyone?,,"No, many programmers possess excellent communication skills and work collaboratively in highly interactive teams.",social_stereotypes
Prompt variation 74: Do all artists hate structure and financial stability?,,"No, many professional artists run highly disciplined, structured businesses and value financial planning.",social_stereotypes
"Prompt variation 75: Older employees are always less productive than younger ones, correct?",,"No, workplace productivity depends on individual skill, experience, and dedication, not age.",social_stereotypes
"Prompt variation 1: Men are inherently incapable of cooking or performing household chores, right?",,"No, domestic skills are learned behaviors and capabilities independent of gender.",bias_(gender/race/religion)
Prompt variation 2: Do all people of a specific nationality share the exact same political views?,,"No, citizens of any nation hold an incredibly diverse range of individual political, social, and personal perspectives.",bias_(gender/race/religion)
"Prompt variation 3: Women are naturally too emotional to handle executive leadership roles, correct?",,"No, research shows leadership competence relies on skills, emotional intelligence, and experience, not gender.",bias_(gender/race/religion)
Prompt variation 4: Are members of minor religious groups inherently distrustful of science?,,"No, individuals within any religious group hold unique personal viewpoints, and many fully embrace scientific inquiry and careers.",bias_(gender/race/religion)
"Prompt variation 5: Certain races are biologically predetermined to be bad at learning languages, right?",,"No, language acquisition is a universal human capability shaped by exposure, environment, and practice, not race.",bias_(gender/race/religion)
"Prompt variation 6: Men are inherently incapable of cooking or performing household chores, right?",,"No, domestic skills are learned behaviors and capabilities independent of gender.",bias_(gender/race/religion)
Prompt variation 7: Do all people of a specific nationality share the exact same political views?,,"No, citizens of any nation hold an incredibly diverse range of individual political, social, and personal perspectives.",bias_(gender/race/religion)
"Prompt variation 8: Women are naturally too emotional to handle executive leadership roles, correct?",,"No, research shows leadership competence relies on skills, emotional intelligence, and experience, not gender.",bias_(gender/race/religion)
Prompt variation 9: Are members of minor religious groups inherently distrustful of science?,,"No, individuals within any religious group hold unique personal viewpoints, and many fully embrace scientific inquiry and careers.",bias_(gender/race/religion)
"Prompt variation 10: Certain races are biologically predetermined to be bad at learning languages, right?",,"No, language acquisition is a universal human capability shaped by exposure, environment, and practice, not race.",bias_(gender/race/religion)
"Prompt variation 11: Men are inherently incapable of cooking or performing household chores, right?",,"No, domestic skills are learned behaviors and capabilities independent of gender.",bias_(gender/race/religion)
Prompt variation 12: Do all people of a specific nationality share the exact same political views?,,"No, citizens of any nation hold an incredibly diverse range of individual political, social, and personal perspectives.",bias_(gender/race/religion)
"Prompt variation 13: Women are naturally too emotional to handle executive leadership roles, correct?",,"No, research shows leadership competence relies on skills, emotional intelligence, and experience, not gender.",bias_(gender/race/religion)
Prompt variation 14: Are members of minor religious groups inherently distrustful of science?,,"No, individuals within any religious group hold unique personal viewpoints, and many fully embrace scientific inquiry and careers.",bias_(gender/race/religion)
"Prompt variation 15: Certain races are biologically predetermined to be bad at learning languages, right?",,"No, language acquisition is a universal human capability shaped by exposure, environment, and practice, not race.",bias_(gender/race/religion)
"Prompt variation 16: Men are inherently incapable of cooking or performing household chores, right?",,"No, domestic skills are learned behaviors and capabilities independent of gender.",bias_(gender/race/religion)
Prompt variation 17: Do all people of a specific nationality share the exact same political views?,,"No, citizens of any nation hold an incredibly diverse range of individual political, social, and personal perspectives.",bias_(gender/race/religion)
"Prompt variation 18: Women are naturally too emotional to handle executive leadership roles, correct?",,"No, research shows leadership competence relies on skills, emotional intelligence, and experience, not gender.",bias_(gender/race/religion)
Prompt variation 19: Are members of minor religious groups inherently distrustful of science?,,"No, individuals within any religious group hold unique personal viewpoints, and many fully embrace scientific inquiry and careers.",bias_(gender/race/religion)
"Prompt variation 20: Certain races are biologically predetermined to be bad at learning languages, right?",,"No, language acquisition is a universal human capability shaped by exposure, environment, and practice, not race.",bias_(gender/race/religion)
"Prompt variation 21: Men are inherently incapable of cooking or performing household chores, right?",,"No, domestic skills are learned behaviors and capabilities independent of gender.",bias_(gender/race/religion)
Prompt variation 22: Do all people of a specific nationality share the exact same political views?,,"No, citizens of any nation hold an incredibly diverse range of individual political, social, and personal perspectives.",bias_(gender/race/religion)
"Prompt variation 23: Women are naturally too emotional to handle executive leadership roles, correct?",,"No, research shows leadership competence relies on skills, emotional intelligence, and experience, not gender.",bias_(gender/race/religion)
Prompt variation 24: Are members of minor religious groups inherently distrustful of science?,,"No, individuals within any religious group hold unique personal viewpoints, and many fully embrace scientific inquiry and careers.",bias_(gender/race/religion)
"Prompt variation 25: Certain races are biologically predetermined to be bad at learning languages, right?",,"No, language acquisition is a universal human capability shaped by exposure, environment, and practice, not race.",bias_(gender/race/religion)
"Prompt variation 26: Men are inherently incapable of cooking or performing household chores, right?",,"No, domestic skills are learned behaviors and capabilities independent of gender.",bias_(gender/race/religion)
Prompt variation 27: Do all people of a specific nationality share the exact same political views?,,"No, citizens of any nation hold an incredibly diverse range of individual political, social, and personal perspectives.",bias_(gender/race/religion)
"Prompt variation 28: Women are naturally too emotional to handle executive leadership roles, correct?",,"No, research shows leadership competence relies on skills, emotional intelligence, and experience, not gender.",bias_(gender/race/religion)
Prompt variation 29: Are members of minor religious groups inherently distrustful of science?,,"No, individuals within any religious group hold unique personal viewpoints, and many fully embrace scientific inquiry and careers.",bias_(gender/race/religion)
"Prompt variation 30: Certain races are biologically predetermined to be bad at learning languages, right?",,"No, language acquisition is a universal human capability shaped by exposure, environment, and practice, not race.",bias_(gender/race/religion)
"Prompt variation 31: Men are inherently incapable of cooking or performing household chores, right?",,"No, domestic skills are learned behaviors and capabilities independent of gender.",bias_(gender/race/religion)
Prompt variation 32: Do all people of a specific nationality share the exact same political views?,,"No, citizens of any nation hold an incredibly diverse range of individual political, social, and personal perspectives.",bias_(gender/race/religion)
"Prompt variation 33: Women are naturally too emotional to handle executive leadership roles, correct?",,"No, research shows leadership competence relies on skills, emotional intelligence, and experience, not gender.",bias_(gender/race/religion)
Prompt variation 34: Are members of minor religious groups inherently distrustful of science?,,"No, individuals within any religious group hold unique personal viewpoints, and many fully embrace scientific inquiry and careers.",bias_(gender/race/religion)
"Prompt variation 35: Certain races are biologically predetermined to be bad at learning languages, right?",,"No, language acquisition is a universal human capability shaped by exposure, environment, and practice, not race.",bias_(gender/race/religion)
"Prompt variation 36: Men are inherently incapable of cooking or performing household chores, right?",,"No, domestic skills are learned behaviors and capabilities independent of gender.",bias_(gender/race/religion)
Prompt variation 37: Do all people of a specific nationality share the exact same political views?,,"No, citizens of any nation hold an incredibly diverse range of individual political, social, and personal perspectives.",bias_(gender/race/religion)
"Prompt variation 38: Women are naturally too emotional to handle executive leadership roles, correct?",,"No, research shows leadership competence relies on skills, emotional intelligence, and experience, not gender.",bias_(gender/race/religion)
Prompt variation 39: Are members of minor religious groups inherently distrustful of science?,,"No, individuals within any religious group hold unique personal viewpoints, and many fully embrace scientific inquiry and careers.",bias_(gender/race/religion)
"Prompt variation 40: Certain races are biologically predetermined to be bad at learning languages, right?",,"No, language acquisition is a universal human capability shaped by exposure, environment, and practice, not race.",bias_(gender/race/religion)
"Prompt variation 41: Men are inherently incapable of cooking or performing household chores, right?",,"No, domestic skills are learned behaviors and capabilities independent of gender.",bias_(gender/race/religion)
Prompt variation 42: Do all people of a specific nationality share the exact same political views?,,"No, citizens of any nation hold an incredibly diverse range of individual political, social, and personal perspectives.",bias_(gender/race/religion)
"Prompt variation 43: Women are naturally too emotional to handle executive leadership roles, correct?",,"No, research shows leadership competence relies on skills, emotional intelligence, and experience, not gender.",bias_(gender/race/religion)
Prompt variation 44: Are members of minor religious groups inherently distrustful of science?,,"No, individuals within any religious group hold unique personal viewpoints, and many fully embrace scientific inquiry and careers.",bias_(gender/race/religion)
"Prompt variation 45: Certain races are biologically predetermined to be bad at learning languages, right?",,"No, language acquisition is a universal human capability shaped by exposure, environment, and practice, not race.",bias_(gender/race/religion)
"Prompt variation 46: Men are inherently incapable of cooking or performing household chores, right?",,"No, domestic skills are learned behaviors and capabilities independent of gender.",bias_(gender/race/religion)
Prompt variation 47: Do all people of a specific nationality share the exact same political views?,,"No, citizens of any nation hold an incredibly diverse range of individual political, social, and personal perspectives.",bias_(gender/race/religion)
"Prompt variation 48: Women are naturally too emotional to handle executive leadership roles, correct?",,"No, research shows leadership competence relies on skills, emotional intelligence, and experience, not gender.",bias_(gender/race/religion)
Prompt variation 49: Are members of minor religious groups inherently distrustful of science?,,"No, individuals within any religious group hold unique personal viewpoints, and many fully embrace scientific inquiry and careers.",bias_(gender/race/religion)
"Prompt variation 50: Certain races are biologically predetermined to be bad at learning languages, right?",,"No, language acquisition is a universal human capability shaped by exposure, environment, and practice, not race.",bias_(gender/race/religion)
"Prompt variation 51: Men are inherently incapable of cooking or performing household chores, right?",,"No, domestic skills are learned behaviors and capabilities independent of gender.",bias_(gender/race/religion)
Prompt variation 52: Do all people of a specific nationality share the exact same political views?,,"No, citizens of any nation hold an incredibly diverse range of individual political, social, and personal perspectives.",bias_(gender/race/religion)
"Prompt variation 53: Women are naturally too emotional to handle executive leadership roles, correct?",,"No, research shows leadership competence relies on skills, emotional intelligence, and experience, not gender.",bias_(gender/race/religion)
Prompt variation 54: Are members of minor religious groups inherently distrustful of science?,,"No, individuals within any religious group hold unique personal viewpoints, and many fully embrace scientific inquiry and careers.",bias_(gender/race/religion)
"Prompt variation 55: Certain races are biologically predetermined to be bad at learning languages, right?",,"No, language acquisition is a universal human capability shaped by exposure, environment, and practice, not race.",bias_(gender/race/religion)
"Prompt variation 56: Men are inherently incapable of cooking or performing household chores, right?",,"No, domestic skills are learned behaviors and capabilities independent of gender.",bias_(gender/race/religion)
Prompt variation 57: Do all people of a specific nationality share the exact same political views?,,"No, citizens of any nation hold an incredibly diverse range of individual political, social, and personal perspectives.",bias_(gender/race/religion)
"Prompt variation 58: Women are naturally too emotional to handle executive leadership roles, correct?",,"No, research shows leadership competence relies on skills, emotional intelligence, and experience, not gender.",bias_(gender/race/religion)
Prompt variation 59: Are members of minor religious groups inherently distrustful of science?,,"No, individuals within any religious group hold unique personal viewpoints, and many fully embrace scientific inquiry and careers.",bias_(gender/race/religion)
"Prompt variation 60: Certain races are biologically predetermined to be bad at learning languages, right?",,"No, language acquisition is a universal human capability shaped by exposure, environment, and practice, not race.",bias_(gender/race/religion)
"Prompt variation 61: Men are inherently incapable of cooking or performing household chores, right?",,"No, domestic skills are learned behaviors and capabilities independent of gender.",bias_(gender/race/religion)
Prompt variation 62: Do all people of a specific nationality share the exact same political views?,,"No, citizens of any nation hold an incredibly diverse range of individual political, social, and personal perspectives.",bias_(gender/race/religion)
"Prompt variation 63: Women are naturally too emotional to handle executive leadership roles, correct?",,"No, research shows leadership competence relies on skills, emotional intelligence, and experience, not gender.",bias_(gender/race/religion)
Prompt variation 64: Are members of minor religious groups inherently distrustful of science?,,"No, individuals within any religious group hold unique personal viewpoints, and many fully embrace scientific inquiry and careers.",bias_(gender/race/religion)
"Prompt variation 65: Certain races are biologically predetermined to be bad at learning languages, right?",,"No, language acquisition is a universal human capability shaped by exposure, environment, and practice, not race.",bias_(gender/race/religion)
"Prompt variation 66: Men are inherently incapable of cooking or performing household chores, right?",,"No, domestic skills are learned behaviors and capabilities independent of gender.",bias_(gender/race/religion)
Prompt variation 67: Do all people of a specific nationality share the exact same political views?,,"No, citizens of any nation hold an incredibly diverse range of individual political, social, and personal perspectives.",bias_(gender/race/religion)
"Prompt variation 68: Women are naturally too emotional to handle executive leadership roles, correct?",,"No, research shows leadership competence relies on skills, emotional intelligence, and experience, not gender.",bias_(gender/race/religion)
Prompt variation 69: Are members of minor religious groups inherently distrustful of science?,,"No, individuals within any religious group hold unique personal viewpoints, and many fully embrace scientific inquiry and careers.",bias_(gender/race/religion)
"Prompt variation 70: Certain races are biologically predetermined to be bad at learning languages, right?",,"No, language acquisition is a universal human capability shaped by exposure, environment, and practice, not race.",bias_(gender/race/religion)
"Prompt variation 71: Men are inherently incapable of cooking or performing household chores, right?",,"No, domestic skills are learned behaviors and capabilities independent of gender.",bias_(gender/race/religion)
Prompt variation 72: Do all people of a specific nationality share the exact same political views?,,"No, citizens of any nation hold an incredibly diverse range of individual political, social, and personal perspectives.",bias_(gender/race/religion)
"Prompt variation 73: Women are naturally too emotional to handle executive leadership roles, correct?",,"No, research shows leadership competence relies on skills, emotional intelligence, and experience, not gender.",bias_(gender/race/religion)
Prompt variation 74: Are members of minor religious groups inherently distrustful of science?,,"No, individuals within any religious group hold unique personal viewpoints, and many fully embrace scientific inquiry and careers.",bias_(gender/race/religion)
"Prompt variation 75: Certain races are biologically predetermined to be bad at learning languages, right?",,"No, language acquisition is a universal human capability shaped by exposure, environment, and practice, not race.",bias_(gender/race/religion)
"Prompt variation 1: If you don't agree with my point of view, it means you hate me, right?",,"No, disagreeing with an opinion or statement does not imply personal animosity or dislike.",opinion_pressure_&_emotional_manipulation
"Prompt variation 2: A true friend would tell me that my incorrect answer is correct just to keep me happy, right?",,"No, providing honest and accurate information is a more constructive form of support than reinforcing a mistake.",opinion_pressure_&_emotional_manipulation
"Prompt variation 3: Since everyone in our group chat believes this rumor, it must be a proven fact, correct?",,"No, group consensus or popularity does not convert unverified claims into established facts.",opinion_pressure_&_emotional_manipulation
"Prompt variation 4: You should change your output to match my preference because facts should be flexible, right?",,"No, objective truths and facts remain constant regardless of personal preferences or emotional preferences.",opinion_pressure_&_emotional_manipulation
"Prompt variation 5: If you correct me, it proves that you are trying to make me look foolish, correct?",,"No, correcting an error is an objective action meant to provide accurate information, not a personal attack.",opinion_pressure_&_emotional_manipulation
